Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
April 18, 2022	riafan.ru	https://riafan.ru/23118330-evrostat_zafiksiroval_uskorenie_godovoi_inflyatsii_v_es_do_7_4	евростат зафиксировал ускорение годовой инфляции в ес до	1	Inflation in the West
April 18, 2022	riafan.ru	https://riafan.ru/23116076-zaharova_nazvala_prichinu_visokoi_inflyatsii_v_ssha	захарова назвала причину высокой инфляции в сша	1	Inflation in the West
April 18, 2022	riafan.ru	https://riafan.ru/23114563-visokie_tseni_i_inflyatsiya_mogut_sohranit_sya_v_germanii_na_protyazhenii_desyati_let	высокие цены и инфляция могут сохраниться в германии на протяжении десяти лет	1	Inflation in the West
April 18, 2022	riafan.ru	https://riafan.ru/23112266-ekonomist_kulakov_investitsii_v_rossiiskie_kurorti_sohranyat_sberezheniya_ot_inflyatsii	экономист кулаков  инвестиции в российские курорты сохранят сбережения от инфляции	1	Inflation in the West
April 18, 2022	riafan.ru	https://riafan.ru/23079548-zoloto_dorozhaet_pri_visokom_inflyatsionnom_davlenii_v_ssha	золото дорожает при высоком инфляционном давлении в сша	1	Inflation in the West
April 11, 2022	riafan.ru	https://riafan.ru/23063385-wsj_deistviya_ssha_stali_prichinoi_uskoreniya_inflyatsii_v_strane	wsj  действия сша стали причиной ускорения инфляции в стране	1	Inflation in the West
April 11, 2022	riafan.ru	https://riafan.ru/23018408-fox_business_tekuschaya_inflyatsiya_stala_shokom_dlya_zhitelei_ssha	fox business  текущая инфляция стала шоком для жителей сша	1	Inflation in the West
April 11, 2022	riafan.ru	https://riafan.ru/23011547-zapad_stolknulsya_s_rostom_inflyatsii_iz_za_sanktsii_protiv_rossii	запад столкнулся с ростом инфляции из за санкций против россии	1	Inflation in the West
April 11, 2022	riafan.ru	https://riafan.ru/22975515-mintrud_ssha_zafiksiroval_inflyatsionnii_maksimum_s_1981_goda	минтруд сша зафиксировал инфляционный максимум с      года	1	Inflation in the West
March 28, 2022	riafan.ru	https://riafan.ru/22600424-statisticheskoe_agentstvo_germanii_zafiksirovalo_rekordnuyu_inflyatsiyu_v_strane	статистическое агентство германии зафиксировало рекордную инфляцию в стране   федеральное агентство новостей no	1	Inflation in the West
March 21, 2022	riafan.ru	https://riafan.ru/22573274-situatsiya_na_ukraine_zamedlit_ekonomicheskii_rost_i_uskorit_inflyatsiyu_v_es	ситуация на украине замедлит экономический рост и ускорит инфляцию в ес   федеральное агентство новостей no	1	Inflation in the West
March 21, 2022	riafan.ru	https://riafan.ru/22573011-zastavili_viiti_pod_evropeiskim_flagom_rossiiskii_bokser_rasskazal_o_rusofobii_v_mezhdunarodnih_federatsiyah	заставили выйти под европейским флагом  российский боксер рассказал о русофобии в международных федерациях    видим вас насквозь   депутат матвейчев лично попросил байдена признать его персоной нон грата в сша   фигуристка анна щербакова допустила  что завершит карьеру после сезона   события на украине на          марта  киев потерял   самолетов  у всу заканчиваются боеприпасы   ситуация на украине замедлит экономический рост и ускорит инфляцию в ес	1	Inflation in the West
March 14, 2022	riafan.ru	https://riafan.ru/22033551-tsb_nazval_neizbezhnim_vremennoe_povishenie_inflyatsii_iz_za_perestroiki_ekonomiki	цб назвал неизбежным временное повышение инфляции из за перестройки экономики   федеральное агентство новостей no	1	Inflation in the West
February 14, 2022	riafan.ru	https://riafan.ru/1610096-investor-aikan-ozhidaet-fenomenalnuyu-inflyaciyu-v-ssha-po-itogam-2022-goda	инвестор айкан ожидает феноменальную инфляцию в сша по итогам      года	1	Inflation in the West
February 7, 2022	riafan.ru	https://riafan.ru/1605628-markov-inflyaciya-v-ssha-byla-by-terpima-esli-by-ne-ostalnye-problemy-baidena	марков  инфляция в сша была бы терпима  если бы не остальные проблемы байдена	1	Inflation in the West
February 7, 2022	riafan.ru	https://riafan.ru/1604941-godovaya-inflyaciya-v-ssha-prodolzhaet-uskoryatsya	годовая инфляция в сша продолжает ускоряться	1	Inflation in the West
February 7, 2022	riafan.ru	https://riafan.ru/1604897-inflyaciya-v-ssha-dostigla-rekordnogo-urovnya-za-40-let	инфляция в сша достигла рекордного уровня за    лет	1	Inflation in the West
January 24, 2022	riafan.ru	https://riafan.ru/1598078-frs-ssha-mozhet-podnyat-procentnuyu-stavku-srazu-na-50-bazisnyh-punktov-iz-za-inflyacii	фрс сша может поднять процентную ставку сразу на    базисных пунктов из за инфляции	1	Inflation in the West
January 10, 2022	riafan.ru	https://riafan.ru/1587066-inflyaciya-v-ssha-vernulas-k-40-letnemu-maksimumu	инфляция в сша вернулась к    летнему максимуму	1	Inflation in the West
December 27, 2021	riafan.ru	https://riafan.ru/1578610-stoimost-strakhovki-zhilya-v-ssha-rastet-bystree-inflyacii	стоимость страховки жилья в сша растет быстрее инфляции	1	Inflation in the West
December 20, 2021	riafan.ru	https://riafan.ru/1578025-dmitrii-peskov-inflyaciya-vo-mnogom-niveliruet-rost-ekonomiki	дмитрий песков  инфляция во многом нивелирует рост экономики	1	Inflation in the West
March 14, 2022	1prime.ru	https://1prime.ru/world/20220317/836404542.html	годовая инфляция в еврозоне достигла исторического максимума	1	Inflation in the West
January 10, 2022	1prime.ru	https://1prime.ru/world/20220112/835754447.html	годовая инфляция в сша достигла максимума с      года	1	Inflation in the West
February 28, 2022	1prime.ru	https://1prime.ru/state_regulation/20220303/836257634.html	фрс  рост цен на энергию спровоцирует рост инфляции в сша	1	Inflation in the West
